Nombre,Tipo,Tiempo de ejecución (ms)
12157526065100,12157526571100,506000
12157538069500,12157538108400,38900
12157538114500,12157538118700,4200
12157538123000,12157538126000,3000
12157538129900,12157538136200,6300
12157538139900,12157538142400,2500
12157538146500,12157538148600,2100
12157538152400,12157538154300,1900
12157538158200,12157538160600,2400
12157538164100,12157538166700,2600
12157538170400,12157538172600,2200
12157538176500,12157538181400,4900
12157538185000,12157538187600,2600
12157538191400,12157538195000,3600
12157538198600,12157538201500,2900
12157538205400,12157538208200,2800
12157538211800,12157538218600,6800
12157538222300,12157538225000,2700
12157538228700,12157538231300,2600
12157538234800,12157538237400,2600
12157538241100,12157538243600,2500
12157538247300,12157538249700,2400
12157538253600,12157538258500,4900
12157538262100,12157538264900,2800
12157538268600,12157538271000,2400
12157538274700,12157538277500,2800
12157538281100,12157538286000,4900
12157538289600,12157538292100,2500
12157538295700,12157538298400,2700
12157538302200,12157538304700,2500
12157538308500,12157538311700,3200
12157538315300,12157538317700,2400
12157538321400,12157538323700,2300
12157538327400,12157538329900,2500
12157538333400,12157538336000,2600
12157538342800,12157538345400,2600
12157538349000,12157538352300,3300
12157538355900,12157538358900,3000
12157538362400,12157538364900,2500
12157538368400,12157538370600,2200
12157538375100,12157538377800,2700
12157538383100,12157538385500,2400
12157538389200,12157538392100,2900
12157538397600,12157538401100,3500
12157538404900,12157538407600,2700
12157538411300,12157538413700,2400
12157538417300,12157538419900,2600
12157538423500,12157538426000,2500
12157538429900,12157538432300,2400
12157538435800,12157538440000,4200
12157538443600,12157538446100,2500
12157538449700,12157538452100,2400
12157538455700,12157538458500,2800
12157538462000,12157538464500,2500
12157538468000,12157538470400,2400
12157538473900,12157538476100,2200
12157538479600,12157538482300,2700
12157538485900,12157538488100,2200
12157538492200,12157538494700,2500
12157538498200,12157538502500,4300
12157538506200,12157538508200,2000
12157538512000,12157538514500,2500
12157538518200,12157538520700,2500
12157538524100,12157538526800,2700
12157538530900,12157538534400,3500
12157538538100,12157538540700,2600
12157538546600,12157538550300,3700
12157538554500,12157538557800,3300
12157538561800,12157538565000,3200
12157538568500,12157538570900,2400
12157538575000,12157538577500,2500
12157538596600,12157538605400,8800
12157538613900,12157538620600,6700
12157538625800,12157538628700,2900
12157538632800,12157538635700,2900
12157538639300,12157538641700,2400
12157538645300,12157538647700,2400
12157538651200,12157538653900,2700
12157538660600,12157538665000,4400
12157538674600,12157538679900,5300
12157538684200,12157538691000,6800
12157538698400,12157538701300,2900
12157538705300,12157538707700,2400
12157538713300,12157538715800,2500
12157538719400,12157538721900,2500
12157538725400,12157538728100,2700
12157538826500,12157538859500,33000
12157538865300,12157538868300,3000
12157538872500,12157538876500,4000
12157538880200,12157538882300,2100
12157538886700,12157538888700,2000
12157538892200,12157538894500,2300
12157538897700,12157538899800,2100
12157538902800,12157538904900,2100
12157538907900,12157538910300,2400
12157538913500,12157538915400,1900
12157538918400,12157538920500,2100
12157538928800,12157538931200,2400
12157538934200,12157538936100,1900
12157538939200,12157538941600,2400
12157538944600,12157538946700,2100
12157538949800,12157538951700,1900
12157538954700,12157538957500,2800
12157538960500,12157538962400,1900
12157538965400,12157538967500,2100
