Nombre,Tipo,Tiempo de ejecución (ms)
15316983528300,15316992541200,9012900
15317000873300,15317001001600,128300
15317001012200,15317001033400,21200
15317001041000,15317001061600,20600
15317001068300,15317001083400,15100
15317001090000,15317001105400,15400
15317001112100,15317001126800,14700
15317001133800,15317001149100,15300
15317001156000,15317001171100,15100
15317001252900,15317001372600,119700
15317001410000,15317001431200,21200
15317001455000,15317001480700,25700
15317001490400,15317001508300,17900
15317001517700,15317001540500,22800
15317001549000,15317001567000,18000
15317001576200,15317001594600,18400
15317001604000,15317001631000,27000
15317001643300,15317001666900,23600
15317001701500,15317001722900,21400
15317001730700,15317001748900,18200
15317001757800,15317001779600,21800
15317001789400,15317001815000,25600
15317001822600,15317001837800,15200
15317001844600,15317001860000,15400
15317001866700,15317001993100,126400
15317002003400,15317002020400,17000
15317002027300,15317002046300,19000
15317002053900,15317002068900,15000
15317002075700,15317002090600,14900
15317002100400,15317002116500,16100
15317002123300,15317002137800,14500
15317002144500,15317002160900,16400
15317002167900,15317002205100,37200
15317002212000,15317002226400,14400
15317002241600,15317002258300,16700
15317002268900,15317002285200,16300
15317002294000,15317002312700,18700
15317002320700,15317002336200,15500
15317002346400,15317002364400,18000
15317002376400,15317002401200,24800
15317002418300,15317002441700,23400
15317002450800,15317002486700,35900
15317002495300,15317002514900,19600
15317002526700,15317002546300,19600
15317002555100,15317002573600,18500
15317002582500,15317002603700,21200
15317002612700,15317002632000,19300
15317002644400,15317002668900,24500
15317002677700,15317002696800,19100
15317002706000,15317002751300,45300
15317002782700,15317002806700,24000
15317002816800,15317002841800,25000
15317002852300,15317002876200,23900
15317002888200,15317002928100,39900
15317002936200,15317002950600,14400
15317002956700,15317002974300,17600
15317002980300,15317002994500,14200
15317003000600,15317003018900,18300
15317003025900,15317003045300,19400
15317003051300,15317003065500,14200
15317003071800,15317003085300,13500
15317003091100,15317003133800,42700
15317003147400,15317003179100,31700
15317003189700,15317003284200,94500
15317003346800,15317003373400,26600
15317003380700,15317003396000,15300
15317003401900,15317003420300,18400
15317003433000,15317003454700,21700
15317003461400,15317003475300,13900
15317003480900,15317003494200,13300
15317003499900,15317003517300,17400
15317003523700,15317003536200,12500
15317003542100,15317003554800,12700
15317003562000,15317003574600,12600
15317003581100,15317003593500,12400
15317003599000,15317003616900,17900
15317003622900,15317003636700,13800
15317003645800,15317003663200,17400
15317003670100,15317003690400,20300
15317003698500,15317003722600,24100
15317003734000,15317003760000,26000
15317003769300,15317003795500,26200
15317003804300,15317003828700,24400
15317003870700,15317003908500,37800
15317003918100,15317003941800,23700
15317003950500,15317004000600,50100
15317004018600,15317004035300,16700
15317004041000,15317004053100,12100
15317004067200,15317004080200,13000
15317004091000,15317004103700,12700
15317004109000,15317004121300,12300
15317004126500,15317004140300,13800
15317004145100,15317004158100,13000
15317004167400,15317004188500,21100
15317004195800,15317004284200,88400
15317004343000,15317004392200,49200
15317004403800,15317004421200,17400
15317004426200,15317004443000,16800
15317004447600,15317004472900,25300
15317004488200,15317004503300,15100
15317004506800,15317004519800,13000
15317004533600,15317004545100,11500
15317004549200,15317004563700,14500
15317004567600,15317004578200,10600
15317004581600,15317004593500,11900
15317004597400,15317004612000,14600
15317004615300,15317004626200,10900
15317004629400,15317004642000,12600
15317004645000,15317004655700,10700
15317004658700,15317004672900,14200
15317004676100,15317004686900,10800
15317004698600,15317004711200,12600
15317004721100,15317004735300,14200
15317004738300,15317004749200,10900
15317004752100,15317004767800,15700
15317004770700,15317004793800,23100
15317004800300,15317004821300,21000
15317004824900,15317004840200,15300
15317004843100,15317004855600,12500
15317004858600,15317004883300,24700
15317004889000,15317004916900,27900
15317004921300,15317004966000,44700
15317004970900,15317004988400,17500
15317004992500,15317005009800,17300
15317005040300,15317005067200,26900
15317005073700,15317005089400,15700
15317005093800,15317005109800,16000
15317005114200,15317005148200,34000
15317005161400,15317005183600,22200
15317005189900,15317005211900,22000
15317005218500,15317005256200,37700
15317005262300,15317005310600,48300
15317005316600,15317005334300,17700
15317005337700,15317005348600,10900
15317005351300,15317005365100,13800
15317005367900,15317005377800,9900
15317005380500,15317005391800,11300
15317005394900,15317005404900,10000
15317005407900,15317005419400,11500
15317005429600,15317005441000,11400
15317005443600,15317005453600,10000
15317005463400,15317005473900,10500
15317005476200,15317005495100,18900
15317005497700,15317005507800,10100
15317005510200,15317005520600,10400
15317005522900,15317005533000,10100
15317005535300,15317005546500,11200
15317005548900,15317005558900,10000
15317005561100,15317005571800,10700
15317005574000,15317005588500,14500
15317005590900,15317005600500,9600
15317005605000,15317005616100,11100
15317005618600,15317005628900,10300
15317005631300,15317005641300,10000
15317005644000,15317005655300,11300
15317005657600,15317005676200,18600
15317005678700,15317005697300,18600
15317005699700,15317005710200,10500
15317005712500,15317005729400,16900
15317005731700,15317005740600,8900
15317005743300,15317005752500,9200
15317005754700,15317005764200,9500
15317005766500,15317005775200,8700
15317005777600,15317005787500,9900
15317005789800,15317005800000,10200
15317005802300,15317005811600,9300
15317005813900,15317005823000,9100
15317005825100,15317005841500,16400
15317005844800,15317005859600,14800
15317005870400,15317005894500,24100
15317005900100,15317005914300,14200
15317005916800,15317005926400,9600
15317005928900,15317005938400,9500
15317005940600,15317005978100,37500
15317005980800,15317005997800,17000
15317006000600,15317006015600,15000
15317006018100,15317006029900,11800
15317006032400,15317006041300,8900
15317006043500,15317006052400,8900
15317006054600,15317006075000,20400
15317006078100,15317006092900,14800
15317006096400,15317006113800,17400
15317006119900,15317006144400,24500
15317006149500,15317006163700,14200
15317006166300,15317006176800,10500
15317006179100,15317006188500,9400
15317006191100,15317006202500,11400
15317006204900,15317006213900,9000
15317006218900,15317006232500,13600
15317006235500,15317006247100,11600
15317006250600,15317006271000,20400
15317006274800,15317006292100,17300
15317006298000,15317006322400,24400
15317006328300,15317006353200,24900
15317006359000,15317006384100,25100
15317006389800,15317006413100,23300
15317006419100,15317006442200,23100
15317006448100,15317006470800,22700
15317006476500,15317006611200,134700
15317006646400,15317006744300,97900
15317006747900,15317006768800,20900
15317006771800,15317006782100,10300
15317006788500,15317006805200,16700
15317006809200,15317006828000,18800
15317006832300,15317006841900,9600
15317006844300,15317006859200,14900
15317006861900,15317006909400,47500
15317006915200,15317006929700,14500
15317006932100,15317006941400,9300
15317006943600,15317006957900,14300
15317006960100,15317006969300,9200
15317006971600,15317006981900,10300
15317006984200,15317006994400,10200
15317006997100,15317007006900,9800
15317007008900,15317007021100,12200
15317007023400,15317007032200,8800
15317007034500,15317007053600,19100
15317007056200,15317007064900,8700
15317007067100,15317007076200,9100
15317007078300,15317007099300,21000
15317007101800,15317007115000,13200
15317007117500,15317007126700,9200
15317007128900,15317007137000,8100
15317007139200,15317007147200,8000
15317007149600,15317007157300,7700
15317007159600,15317007175900,16300
15317007178300,15317007186800,8500
15317007188800,15317007203800,15000
15317007616100,15317007634700,18600
15317007638800,15317007647400,8600
15317007649700,15317007657700,8000
15317007659800,15317007667000,7200
15317007669000,15317007683800,14800
15317007686800,15317007701000,14200
15317007706200,15317007725400,19200
15317007728700,15317007737700,9000
15317007740100,15317007748400,8300
15317007750700,15317007759100,8400
15317007761300,15317007771400,10100
15317007773400,15317007787100,13700
15317007789800,15317007804200,14400
15317007808500,15317007821900,13400
15317007824300,15317007843600,19300
15317007845800,15317007856400,10600
15317007858500,15317007872900,14400
15317007876000,15317007893900,17900
15317007897500,15317007928400,30900
15317007934500,15317007957900,23400
15317007963600,15317007994300,30700
15317008000400,15317008027000,26600
15317008033100,15317008063000,29900
15317008067100,15317008086200,19100
15317008091100,15317008117300,26200
15317008119900,15317008129400,9500
15317008131600,15317008139500,7900
15317008141400,15317008156100,14700
15317008160300,15317008167900,7600
15317008169900,15317008176500,6600
15317008178500,15317008199800,21300
15317008202500,15317008211100,8600
15317008213300,15317008221400,8100
15317008223500,15317008235500,12000
15317008237700,15317008246100,8400
15317008248400,15317008255300,6900
15317008257300,15317008266400,9100
15317008268400,15317008276100,7700
15317008277900,15317008284500,6600
15317008286400,15317008293100,6700
15317008295200,15317008302300,7100
15317008304200,15317008310800,6600
15317008312800,15317008320100,7300
15317008322000,15317008328600,6600
15317008330700,15317008337600,6900
15317008339500,15317008346900,7400
15317008348800,15317008357700,8900
15317008359800,15317008366400,6600
15317008368400,15317008374900,6500
15317008376900,15317008383400,6500
15317008385300,15317008391900,6600
15317008393800,15317008400700,6900
15317008402600,15317008423800,21200
15317008426300,15317008433600,7300
15317008435600,15317008442700,7100
15317008444600,15317008450900,6300
15317008452800,15317008460300,7500
15317008462200,15317008469300,7100
15317008471100,15317008477300,6200
15317008479300,15317008486500,7200
15317008488400,15317008494500,6100
15317008496700,15317008503000,6300
15317008504900,15317008511600,6700
15317008513500,15317008519800,6300
15317008521800,15317008528300,6500
15317008530200,15317008537400,7200
15317008539300,15317008547000,7700
15317008549000,15317008555300,6300
15317008557300,15317008563300,6000
15317008565300,15317008571500,6200
15317008573300,15317008582100,8800
15317008585400,15317008592900,7500
15317008594900,15317008601900,7000
15317008604000,15317008611600,7600
15317008613500,15317008699400,85900
15317008706100,15317008754300,48200
15317008756900,15317008766700,9800
15317008768900,15317008783900,15000
