Nombre,Tipo,Tiempo de ejecución (ms)
12737137842100,12737138248400,406300
12737138364000,12737138370000,6000
12737138371200,12737138374200,3000
12737138374800,12737138377500,2700
12737138378200,12737138380300,2100
12737138381000,12737138383100,2100
12737138383900,12737138386000,2100
12737138386700,12737138389400,2700
12737138390200,12737138392800,2600
12737138393400,12737138398800,5400
12737138399600,12737138403300,3700
12737138404100,12737138407400,3300
12737138408100,12737138411200,3100
12737138411900,12737138416400,4500
12737138417100,12737138421100,4000
12737138421800,12737138424600,2800
12737138425300,12737138427900,2600
12737138428500,12737138432300,3800
12737138433000,12737138435500,2500
12737138438000,12737138440400,2400
12737138441100,12737138443800,2700
12737138444500,12737138447400,2900
12737138448100,12737138452000,3900
12737138452700,12737138455100,2400
12737138455800,12737138458400,2600
12737138459000,12737138463100,4100
12737138463700,12737138467300,3600
12737138468000,12737138470400,2400
12737138471100,12737138473700,2600
12737138474300,12737138477900,3600
12737138478700,12737138481900,3200
12737138482500,12737138487200,4700
12737138487900,12737138490500,2600
12737138491100,12737138493800,2700
12737138494400,12737138497500,3100
12737138498200,12737138500800,2600
12737138501300,12737138503900,2600
12737138504600,12737138508600,4000
12737138509300,12737138512900,3600
12737138513500,12737138515900,2400
12737138516600,12737138519100,2500
12737138519700,12737138523400,3700
12737138523900,12737138526300,2400
12737138526800,12737138529500,2700
12737138530100,12737138533500,3400
12737138534300,12737138536600,2300
12737138537300,12737138539900,2600
12737138540700,12737138543400,2700
12737138544100,12737138546600,2500
12737138547200,12737138551200,4000
12737138551900,12737138555500,3600
12737138556100,12737138558700,2600
12737138559300,12737138561700,2400
12737138562400,12737138565700,3300
12737138566300,12737138568700,2400
12737138569400,12737138571900,2500
12737138573800,12737138576300,2500
12737138576900,12737138580400,3500
12737138581000,12737138583400,2400
12737138584100,12737138586800,2700
12737138587400,12737138590600,3200
12737138591200,12737138593700,2500
12737138594400,12737138598000,3600
12737138598700,12737138601000,2300
12737138601600,12737138605300,3700
12737138605900,12737138608300,2400
12737138608900,12737138612900,4000
12737138613500,12737138617200,3700
12737138617900,12737138620400,2500
12737138621000,12737138623600,2600
12737138624200,12737138627900,3700
12737138628800,12737138631100,2300
12737138631800,12737138634400,2600
12737138635000,12737138637500,2500
12737138638300,12737138641900,3600
12737138642600,12737138644900,2300
12737138645600,12737138648100,2500
12737138648700,12737138652700,4000
12737138653300,12737138655900,2600
12737138656500,12737138659000,2500
12737138659600,12737138663500,3900
12737138664100,12737138666500,2400
12737138667100,12737138671100,4000
12737138671700,12737138675200,3500
12737138676000,12737138678400,2400
12737138679000,12737138681500,2500
12737138682200,12737138685700,3500
12737138686200,12737138688600,2400
12737138689300,12737138692600,3300
12737138693600,12737138696400,2800
12737138697000,12737138699400,2400
12737138700000,12737138702400,2400
12737138703000,12737138705700,2700
12737138707800,12737138710800,3000
12737138711500,12737138715900,4400
12737138716500,12737138720400,3900
12737138721100,12737138723500,2400
12737138724300,12737138727200,2900
12737138727800,12737138730600,2800
12737138731200,12737138734900,3700
12737138735500,12737138738000,2500
12737138738600,12737138741600,3000
12737138742200,12737138745100,2900
12737138745800,12737138752000,6200
12737138752600,12737138755000,2400
12737138755600,12737138758400,2800
12737138758900,12737138763000,4100
12737138763700,12737138766600,2900
12737138767200,12737138770600,3400
12737138771300,12737138775800,4500
12737138776600,12737138780800,4200
12737138781400,12737138785000,3600
12737138787100,12737138789700,2600
12737138790400,12737138794200,3800
12737138794800,12737138797500,2700
12737138798200,12737138801100,2900
12737138801600,12737138805200,3600
12737138805700,12737138809500,3800
12737138810000,12737138814100,4100
12737138814700,12737138819100,4400
12737138819700,12737138824000,4300
12737138824700,12737138828600,3900
12737138829300,12737138832900,3600
12737138833500,12737138836100,2600
12737138836700,12737138840000,3300
12737138840700,12737138843300,2600
12737138843900,12737138846400,2500
12737138847000,12737138851000,4000
12737138851600,12737138855600,4000
12737138856100,12737138860200,4100
12737138862400,12737138865000,2600
12737138865600,12737138869800,4200
12737138870500,12737138874500,4000
12737138875200,12737138879400,4200
12737138880000,12737138884000,4000
12737138885000,12737138888900,3900
12737138889500,12737138891800,2300
12737138892500,12737138895000,2500
12737138895600,12737138898100,2500
12737138898600,12737138902600,4000
12737138903200,12737138907200,4000
12737138908300,12737138910800,2500
12737138911400,12737138914800,3400
12737138915700,12737138918100,2400
12737138918800,12737138921300,2500
12737138921900,12737138926100,4200
12737138926700,12737138930700,4000
12737138931300,12737138935200,3900
12737138935800,12737138940600,4800
12737138941200,12737138945900,4700
12737138946500,12737138950500,4000
12737138951200,12737138953700,2500
12737138954300,12737138957200,2900
12737138957900,12737138960300,2400
12737138960900,12737138964900,4000
12737138965500,12737138969200,3700
12737138969800,12737138972300,2500
12737138972900,12737138975500,2600
12737138976100,12737138978600,2500
12737138979200,12737138981600,2400
12737138982200,12737138985700,3500
12737138986400,12737138988800,2400
12737138989400,12737138992200,2800
12737138992800,12737138996600,3800
12737138997300,12737138999700,2400
12737139000400,12737139002800,2400
12737139003400,12737139005800,2400
12737139007900,12737139010500,2600
12737139011100,12737139013400,2300
12737139014000,12737139016400,2400
12737139017000,12737139019400,2400
12737139020000,12737139022400,2400
12737139022900,12737139025300,2400
12737139025900,12737139028400,2500
12737139029000,12737139033000,4000
12737139033600,12737139036400,2800
12737139037000,12737139039500,2500
12737139040200,12737139043800,3600
12737139044400,12737139046900,2500
12737139047500,12737139051700,4200
12737139052200,12737139056000,3800
12737139056600,12737139059100,2500
12737139059800,12737139063700,3900
12737139064300,12737139067200,2900
12737139067800,12737139070600,2800
12737139071400,12737139075600,4200
12737139076200,12737139080700,4500
12737139081300,12737139085200,3900
12737139085800,12737139088400,2600
12737139089000,12737139092400,3400
12737139093000,12737139095300,2300
12737139096000,12737139099400,3400
12737139100000,12737139102600,2600
12737139103400,12737139105900,2500
12737139106600,12737139110800,4200
12737139111400,12737139113900,2500
12737139114600,12737139117700,3100
12737139118400,12737139121700,3300
12737139122300,12737139124900,2600
12737139125600,12737139129900,4300
12737139130600,12737139133700,3100
12737139134600,12737139137100,2500
12737139137800,12737139141600,3800
12737139142400,12737139144900,2500
12737139147000,12737139149300,2300
12737139150000,12737139152700,2700
12737139153400,12737139155400,2000
12737139156100,12737139158200,2100
12737139158800,12737139161000,2200
12737139161700,12737139163800,2100
12737139164500,12737139166900,2400
12737139167400,12737139169500,2100
12737139170100,12737139172000,1900
12737139172600,12737139174700,2100
12737139175300,12737139177400,2100
12737139177900,12737139180000,2100
12737139180600,12737139182900,2300
12737139183400,12737139185500,2100
12737139186100,12737139188100,2000
12737139188700,12737139190700,2000
12737139191200,12737139193200,2000
12737139193700,12737139195800,2100
12737139196500,12737139200000,3500
12737139200700,12737139203000,2300
12737139203600,12737139205600,2000
12737139206200,12737139208000,1800
12737139208600,12737139210700,2100
12737139211400,12737139213500,2100
12737139214100,12737139216100,2000
12737139216700,12737139218700,2000
12737139219300,12737139221500,2200
